g1.t1	g1.t1	100.00	382	0	0	1	382	1	382	0.0	  779
g1.t1	g5496.t1	65.22	46	15	1	320	365	367	411	9e-15	74.3
g2.t1	g2.t1	100.00	231	0	0	1	231	1	231	5e-170	  471
g3.t1	g3.t1	100.00	584	0	0	1	584	1	584	0.0	 1195
g4.t1	g4.t1	100.00	292	0	0	1	292	1	292	0.0	  602
g5.t1	g5.t1	100.00	474	0	0	1	474	1	474	0.0	  966
g6.t1	g6.t1	100.00	4190	0	0	1	4190	1	4190	0.0	 8642
g6.t1	g678.t1	26.35	167	106	4	1315	1481	786	935	2e-08	59.3
g7.t1	g7.t1	100.00	394	0	0	1	394	1	394	0.0	  804
g7.t1	g10610.t1	34.29	312	146	6	92	358	1	298	7e-44	  156
g8.t1	g8.t1	100.00	1219	0	0	1	1219	1	1219	0.0	 2528
g8.t1	g974.t1	36.50	1085	518	23	156	1219	2062	2996	0.0	  611
g9.t1	g9.t1	100.00	366	0	0	1	366	1	366	0.0	  761
g10.t1	g10.t1	100.00	144	0	0	1	144	1	144	9e-104	  296
g11.t1	g11.t1	100.00	282	0	0	1	282	1	282	0.0	  583
g11.t1	g6865.t1	39.25	265	132	3	6	270	60	295	2e-59	  193
g12.t1	g12.t1	100.00	366	0	0	1	366	1	366	0.0	  754
g13.t1	g13.t1	100.00	199	0	0	1	199	1	199	7e-140	  392
g14.t1	g14.t1	100.00	305	0	0	1	305	1	305	0.0	  637
g15.t1	g15.t1	100.00	1658	0	0	1	1658	1	1658	0.0	 3430
g15.t1	g4597.t1	79.01	243	33	9	621	845	39	281	6e-100	  324
g16.t1	g16.t1	100.00	257	0	0	1	257	1	257	0.0	  536
g16.t1	g2402.t1	28.92	204	117	6	38	215	79	280	9e-10	57.0
g17.t1	g17.t1	100.00	515	0	0	1	515	1	515	0.0	 1069
g17.t1	g185.t1	26.37	273	145	8	175	416	166	413	1e-16	81.6
g17.t1	g185.t1	27.12	236	138	7	210	444	157	359	7e-13	69.7
g18.t1	g18.t1	100.00	2531	0	0	1	2531	1	2531	0.0	 5236
g18.t1	g578.t1	29.56	159	92	6	2250	2401	407	552	2e-08	58.5
g19.t1	g19.t1	100.00	497	0	0	1	497	1	497	0.0	 1013
g20.t1	g20.t1	100.00	230	0	0	1	230	1	230	4e-171	  473
g21.t1	g21.t1	100.00	814	0	0	1	814	1	814	0.0	 1668
g21.t1	g8697.t1	42.93	184	92	3	74	254	49	222	6e-32	  132
g21.t1	g8697.t1	45.10	102	53	2	701	802	810	908	3e-24	  108
g22.t1	g22.t1	100.00	287	0	0	1	287	1	287	0.0	  588
g23.t1	g23.t1	100.00	627	0	0	1	627	1	627	0.0	 1305
g24.t1	g24.t1	100.00	533	0	0	1	533	1	533	0.0	 1090
g24.t1	g2588.t1	29.79	94	58	1	427	512	238	331	1e-08	56.6
g25.t1	g25.t1	100.00	441	0	0	1	441	1	441	0.0	  887
g26.t1	g26.t1	100.00	419	0	0	1	419	1	419	0.0	  875
g26.t1	g3301.t1	40.19	107	61	2	158	262	21	126	2e-13	70.9
g27.t1	g27.t1	100.00	465	0	0	1	465	1	465	0.0	  952
g28.t1	g28.t1	100.00	341	0	0	1	341	1	341	0.0	  701
g29.t1	g29.t1	100.00	770	0	0	1	770	1	770	0.0	 1592
g29.t1	g5741.t1	34.25	362	168	9	456	764	507	851	6e-54	  199
g30.t1	g30.t1	100.00	79	0	0	1	79	1	79	2e-54	  165
g31.t1	g31.t1	100.00	491	0	0	1	491	1	491	0.0	 1017
g32.t1	g32.t1	100.00	2127	0	0	1	2127	1	2127	0.0	 4408
g32.t1	g114.t1	29.10	1495	849	51	602	2012	31	1398	3e-122	  424
g33.t1	g33.t1	100.00	375	0	0	1	375	1	375	0.0	  775
g33.t1	g4568.t1	29.77	309	191	8	66	359	48	345	1e-24	  102
g34.t1	g34.t1	100.00	372	0	0	1	372	1	372	0.0	  764
g34.t1	g8727.t1	34.52	84	36	1	139	222	63	127	7e-11	62.4
g35.t1	g35.t1	100.00	810	0	0	1	810	1	810	0.0	 1665
g36.t1	g36.t1	100.00	147	0	0	1	147	1	147	3e-108	  307
g36.t1	g639.t1	57.53	146	61	1	2	146	3	148	1e-64	  196
g37.t1	g37.t1	100.00	1591	0	0	1	1591	1	1591	0.0	 3316
g37.t1	g624.t1	32.81	128	81	3	97	224	104	226	6e-14	73.2
g38.t1	g38.t1	100.00	398	0	0	1	398	1	398	0.0	  823
g38.t1	g711.t1	32.17	345	204	9	21	345	14	348	3e-46	  165
g39.t1	g39.t1	100.00	150	0	0	1	150	1	150	1e-109	  311
g40.t1	g40.t1	100.00	393	0	0	1	393	1	393	0.0	  826
g41.t1	g41.t1	100.00	771	0	0	1	771	1	771	0.0	 1608
g41.t1	g628.t1	22.86	245	149	7	450	690	233	441	5e-13	71.2
g42.t1	g42.t1	100.00	238	0	0	1	238	1	238	8e-179	  494
g43.t1	g43.t1	100.00	315	0	0	1	315	1	315	0.0	  659
g44.t1	g44.t1	100.00	280	0	0	1	280	1	280	0.0	  569
g44.t1	g10330.t1	40.52	153	86	2	106	256	168	317	6e-26	  107
g45.t1	g45.t1	100.00	110	0	0	1	110	1	110	7e-78	  227
g45.t1	g13040.t1	32.79	122	34	2	37	110	25	146	3e-12	59.3
g46.t1	g46.t1	100.00	538	0	0	1	538	1	538	0.0	 1090
g46.t1	g2667.t1	36.88	442	213	7	3	383	2	438	6e-82	  266
g47.t1	g47.t1	100.00	657	0	0	1	657	1	657	0.0	 1355
